type,parrallelisation_flag,Amount_threads,N,time_use,result,relative_error,standard_deviation
gauleg,yes,1,10,0.063971,0.129834,0.326466,0
gaulag,yes,1,10,0.18481,0.177081,0.0813679,0
gauleg,yes,1,15,0.72935,0.199475,0.0348043,0
gaulag,yes,1,15,1.90932,0.193285,0.00269565,0
gauleg,yes,1,20,4.10293,0.177065,0.0814488,0
gaulag,yes,1,20,11.1415,0.194786,0.0104784,0
gauleg,yes,4,10,0.0324701,8.5022e+228,4.41064e+229,0
gaulag,yes,4,10,0.0776341,0.177081,0.0813679,0
gauleg,yes,4,15,0.227516,4.2511e+228,2.20532e+229,0
gaulag,yes,4,15,0.530516,0.193285,0.00269565,0
gauleg,yes,4,20,1.10006,0.177065,0.0814488,0
gaulag,yes,4,20,2.93281,0.194786,0.0104784,0
gauleg,yes,4,25,4.04322,0.18911,0.018967,0
gaulag,yes,4,25,7.12319,0.194804,0.0105751,0
gauleg,yes,4,30,7.75074,8.5022e+228,4.41064e+229,0
gaulag,yes,4,30,23.1958,0.194779,0.010443,0
gauleg,yes,4,40,47.0677,0.18867,0.0212464,0
gaulag,yes,4,40,139.914,0.194669,0.009873,0
badMonteCarlo,yes,1,1000,0.000345,0.14048,0.271237,0.0446756
goodMonteCarlo,yes,1,1000,0.000444,0.229685,0.191523,0.0423382
badMonteCarlo,yes,1,10000,0.003222,0.18292,0.0510768,0.0466766
goodMonteCarlo,yes,1,10000,0.004231,0.192826,0.000311424,0.00903504
badMonteCarlo,yes,1,100000,0.030474,0.17415,0.0965706,0.02031
goodMonteCarlo,yes,1,100000,0.043426,0.189302,0.0179691,0.00312936
badMonteCarlo,yes,4,1000,0.000146834,0.706213,2.66358,0.529569
goodMonteCarlo,yes,4,1000,0.000622679,0.199742,0.0361927,0.029673
badMonteCarlo,yes,4,10000,0.00323284,0.104612,0.457308,0.0157878
goodMonteCarlo,yes,4,10000,0.00491916,0.181389,0.0590198,0.0078064
badMonteCarlo,yes,4,100000,0.020773,0.280876,0.457086,0.0997927
goodMonteCarlo,yes,4,100000,0.0256792,0.192427,0.00175767,0.00373758
badMonteCarlo,yes,4,100000,0.0277493,0.216479,0.123016,0.0374558
goodMonteCarlo,yes,4,100000,0.0301689,0.19385,0.00562748,0.00329173
badMonteCarlo,yes,4,1000000,0.113948,0.191664,0.0057131,0.00779431
goodMonteCarlo,yes,4,1000000,0.154213,0.192316,0.00233526,0.00121865
badMonteCarlo,yes,4,10000000,0.877492,0.195473,0.0140429,0.00308609
goodMonteCarlo,yes,4,10000000,1.30097,0.192954,0.000975326,0.000322316
badMonteCarlo,yes,4,100000000,9.37873,0.19327,0.00261856,0.00104
goodMonteCarlo,yes,4,100000000,14.2445,0.192639,0.000654751,0.000104677
badMonteCarlo,yes,4,1000000000,93.8618,0.191953,0.00421359,0.000339369
goodMonteCarlo,yes,4,1000000000,142.438,0.192753,6.384e-05,3.26597e-05
gauleg,yes,1,10,0.039711,0.129834,0.326466,0
gaulag,yes,1,10,0.108855,0.177081,0.0813679,0
gauleg,yes,1,15,0.429136,0.199475,0.0348043,0
gaulag,yes,1,15,1.11854,0.193285,0.00269565,0
gauleg,yes,1,20,2.39093,0.177065,0.0814488,0
gaulag,yes,1,20,7.68139,0.194786,0.0104784,0
gauleg,yes,4,10,0.0215624,4.2511e+228,2.20532e+229,0
gaulag,yes,4,10,0.0743689,0.177081,0.0813679,0
gauleg,yes,4,15,0.177228,4.2511e+228,2.20532e+229,0
gaulag,yes,4,15,0.44496,0.193285,0.00269565,0
gauleg,yes,4,20,0.982615,0.177065,0.0814488,0
gaulag,yes,4,20,2.93478,0.194786,0.0104784,0
gauleg,yes,4,25,2.87202,4.2511e+228,2.20532e+229,0
gaulag,yes,4,25,8.08205,0.194804,0.0105751,0
gauleg,yes,4,30,8.76,0.185796,0.0361583,0
gaulag,yes,4,30,24.2435,0.194779,0.010443,0
gauleg,yes,4,40,49.9388,0.18867,0.0212464,0
gaulag,yes,4,40,139.661,0.194669,0.009873,0
badMonteCarlo,yes,1,1000,0.000307,0.140757,0.269804,0.0749952
goodMonteCarlo,yes,1,1000,0.000501,0.218021,0.131017,0.0388961
badMonteCarlo,yes,1,10000,0.002992,0.205232,0.064673,0.0555131
goodMonteCarlo,yes,1,10000,0.004259,0.18297,0.0508177,0.00796093
badMonteCarlo,yes,1,100000,0.029887,0.222773,0.155668,0.0321279
goodMonteCarlo,yes,1,100000,0.043608,0.196462,0.0191752,0.00343855
badMonteCarlo,yes,4,1000,0.000405898,0.0925278,0.519998,0.0426381
goodMonteCarlo,yes,4,1000,0.000709694,0.19274,0.00013471,0.023272
badMonteCarlo,yes,4,10000,0.00324453,0.229167,0.188835,0.0978535
goodMonteCarlo,yes,4,10000,0.00346046,0.188719,0.020995,0.0126399
badMonteCarlo,yes,4,100000,0.028335,0.178182,0.0756542,0.0197557
goodMonteCarlo,yes,4,100000,0.0290726,0.194113,0.00698839,0.00308433
badMonteCarlo,yes,4,100000,0.0201794,0.21789,0.130337,0.0553983
goodMonteCarlo,yes,4,100000,0.0313693,0.197143,0.0227084,0.00313805
badMonteCarlo,yes,4,1000000,0.0999349,0.208139,0.0797515,0.0143726
goodMonteCarlo,yes,4,1000000,0.189202,0.191512,0.00650245,0.000952622
badMonteCarlo,yes,4,10000000,0.888275,0.191241,0.00790787,0.0027511
goodMonteCarlo,yes,4,10000000,1.29328,0.192173,0.00307559,0.00031549
badMonteCarlo,yes,4,100000000,8.58317,0.192951,0.00095926,0.00102068
goodMonteCarlo,yes,4,100000000,13.0386,0.192785,0.000101033,0.000103386
badMonteCarlo,yes,4,1000000000,87.8001,0.192146,0.00321367,0.000316216
goodMonteCarlo,yes,4,1000000000,133.227,0.192752,7.13089e-05,3.32586e-05
gauleg,yes,1,10,0.039653,0.129834,0.326466,0
gaulag,yes,1,10,0.113008,0.177081,0.0813679,0
gauleg,yes,1,15,0.429199,0.199475,0.0348043,0
gaulag,yes,1,15,1.17101,0.193285,0.00269565,0
gauleg,yes,1,20,2.39423,0.177065,0.0814488,0
gaulag,yes,1,20,6.29707,0.194786,0.0104784,0
gauleg,yes,4,10,0.0252229,8.5022e+228,4.41064e+229,0
gaulag,yes,4,10,0.05798,0.177081,0.0813679,0
gauleg,yes,4,15,0.134926,4.2511e+228,2.20532e+229,0
gaulag,yes,4,15,0.407987,0.193285,0.00269565,0
gauleg,yes,4,20,0.743534,4.2511e+228,2.20532e+229,0
gaulag,yes,4,20,1.90045,0.194786,0.0104784,0
gauleg,yes,4,25,2.60835,0.18911,0.018967,0
gaulag,yes,4,25,8.0632,0.194804,0.0105751,0
gauleg,yes,4,30,8.15806,4.2511e+228,2.20532e+229,0
gaulag,yes,4,30,25.0275,0.194779,0.010443,0
gauleg,yes,4,40,47.2093,4.2511e+228,2.20532e+229,0
gaulag,yes,4,40,137.123,0.194669,0.009873,0
badMonteCarlo,yes,1,1000,0.000289,0.0703639,0.634977,0.0234218
goodMonteCarlo,yes,1,1000,0.000443,0.191025,0.00902786,0.0268144
badMonteCarlo,yes,1,10000,0.002819,0.160329,0.168272,0.0396015
goodMonteCarlo,yes,1,10000,0.004188,0.192952,0.000968501,0.0116187
badMonteCarlo,yes,1,100000,0.028805,0.181832,0.0567205,0.0239404
goodMonteCarlo,yes,1,100000,0.042125,0.191403,0.00707121,0.00295486
badMonteCarlo,yes,4,1000,0.000478506,0.0607067,0.685075,0.0177287
goodMonteCarlo,yes,4,1000,0.000462711,0.17274,0.103885,0.022877
badMonteCarlo,yes,4,10000,0.00322355,0.188648,0.0213619,0.0663139
goodMonteCarlo,yes,4,10000,0.00492823,0.19428,0.00785485,0.00887522
badMonteCarlo,yes,4,100000,0.0279191,0.33522,0.739,0.108756
goodMonteCarlo,yes,4,100000,0.0331677,0.186083,0.0346671,0.00272617
badMonteCarlo,yes,4,100000,0.0262349,0.164961,0.14424,0.0162289
goodMonteCarlo,yes,4,100000,0.0272591,0.194297,0.00794438,0.0030452
badMonteCarlo,yes,4,1000000,0.0939062,0.178654,0.0732082,0.00750105
goodMonteCarlo,yes,4,1000000,0.194918,0.191768,0.00517625,0.00124308
badMonteCarlo,yes,4,10000000,0.8816,0.193645,0.00456204,0.00299536
goodMonteCarlo,yes,4,10000000,1.28548,0.193117,0.00182157,0.000323423
badMonteCarlo,yes,4,100000000,8.97144,0.192767,7.33865e-06,0.000997818
goodMonteCarlo,yes,4,100000000,13.112,0.193101,0.00174185,0.00010573
