type,parrallelisation_flag,Amount_threads,N,time_use,result,relative_error,standard_deviation
gauleg,yes,1,10,0.038397,0.129834,0.326466,0
gaulag,yes,1,10,0.114937,0.177081,0.0813679,0
gauleg,yes,1,15,0.427477,0.199475,0.0348043,0
gaulag,yes,1,15,1.12221,0.193285,0.00269565,0
gauleg,yes,1,20,2.41754,0.177065,0.0814488,0
gaulag,yes,1,20,6.30799,0.194786,0.0104784,0
gauleg,yes,1,30,27.2388,0.185796,0.0361583,0
gaulag,yes,1,30,71.0671,0.194779,0.010443,0
gauleg,yes,4,10,0.0151695,0.129834,0.326466,0
gaulag,yes,4,10,0.0579258,0.177081,0.0813679,0
gauleg,yes,4,15,0.146725,0.199475,0.0348043,0
gaulag,yes,4,15,0.383596,0.193285,0.00269565,0
gauleg,yes,4,20,0.724152,0.177065,0.0814488,0
gaulag,yes,4,20,1.8775,0.194786,0.0104784,0
gauleg,yes,4,25,2.61534,0.18911,0.018967,0
gaulag,yes,4,25,7.93568,0.194804,0.0105751,0
gauleg,yes,4,30,8.18758,0.185796,0.0361583,0
gaulag,yes,4,30,24.19,0.194779,0.010443,0
gauleg,yes,4,40,50.9277,0.18867,0.0212464,0
gaulag,yes,4,40,147.862,0.194669,0.009873,0
gauleg,yes,4,45,103.221,0.190128,0.0136823,0
gaulag,yes,4,45,286.181,0.194594,0.00948246,0
badMonteCarlo,yes,1,1000,0.000291,0.0971189,0.496182,0.0381696
goodMonteCarlo,yes,1,1000,0.000442,0.159764,0.171199,0.0177548
badMonteCarlo,yes,1,10000,0.002958,0.176257,0.0856405,0.0338817
goodMonteCarlo,yes,1,10000,0.004223,0.185737,0.036463,0.00850441
badMonteCarlo,yes,1,100000,0.028785,0.191898,0.00450203,0.0204879
goodMonteCarlo,yes,1,100000,0.042547,0.195436,0.0138551,0.00353533
badMonteCarlo,yes,1,1000000,0.284266,0.190792,0.0102367,0.00750803
goodMonteCarlo,yes,1,1000000,0.413542,0.193407,0.00332589,0.000997593
badMonteCarlo,yes,1,1000000,0.283266,0.19661,0.0199409,0.00857666
goodMonteCarlo,yes,1,1000000,0.412975,0.193079,0.00162423,0.00102953
badMonteCarlo,yes,1,1000000,0.282926,0.185382,0.0383059,0.00924838
goodMonteCarlo,yes,1,1000000,0.413849,0.191806,0.00498094,0.000971114
badMonteCarlo,yes,1,10000000,2.82516,0.194163,0.00725087,0.00306994
goodMonteCarlo,yes,1,10000000,4.12909,0.192923,0.000814318,0.000333136
badMonteCarlo,yes,4,1000,0.000417809,0.10149,0.473507,0.044269
goodMonteCarlo,yes,4,1000,0.000592053,0.185782,0.0362274,0.0248197
badMonteCarlo,yes,4,10000,0.00233324,0.196279,0.0182239,0.0710961
goodMonteCarlo,yes,4,10000,0.00499436,0.177565,0.0788578,0.00717274
badMonteCarlo,yes,4,100000,0.0286719,0.170724,0.114342,0.0147501
goodMonteCarlo,yes,4,100000,0.0346128,0.19785,0.0263735,0.00320177
badMonteCarlo,yes,4,100000,0.0211723,0.158377,0.178397,0.0143989
goodMonteCarlo,yes,4,100000,0.0321325,0.188975,0.0196627,0.00334763
badMonteCarlo,yes,4,1000000,0.101101,0.200331,0.039247,0.00925948
goodMonteCarlo,yes,4,1000000,0.188425,0.192629,0.000709071,0.00102914
badMonteCarlo,yes,4,10000000,0.86549,0.189272,0.0181223,0.00276999
goodMonteCarlo,yes,4,10000000,1.2643,0.192718,0.000246725,0.000317813
badMonteCarlo,yes,4,100000000,8.92549,0.191994,0.00400425,0.000925268
goodMonteCarlo,yes,4,100000000,13.2407,0.192735,0.000160737,0.000102829
badMonteCarlo,yes,4,1000000000,89.1873,0.192159,0.00314826,0.000318183
goodMonteCarlo,yes,4,1000000000,170.442,0.192745,0.000108363,3.28045e-05
gauleg,yes,1,10,0.084274,0.129834,0.326466,0
gaulag,yes,1,10,0.113122,0.177081,0.0813679,0
gauleg,yes,1,15,0.426687,0.199475,0.0348043,0
gaulag,yes,1,15,1.21704,0.193285,0.00269565,0
gauleg,yes,1,20,2.39216,0.177065,0.0814488,0
gaulag,yes,1,20,7.46507,0.194786,0.0104784,0
gauleg,yes,1,30,27.5836,0.185796,0.0361583,0
gaulag,yes,1,30,82.9869,0.194779,0.010443,0
gauleg,yes,4,10,0.0303814,0.129834,0.326466,0
gaulag,yes,4,10,0.051132,0.177081,0.0813679,0
gauleg,yes,4,15,0.253506,0.199475,0.0348043,0
gaulag,yes,4,15,0.695148,0.193285,0.00269565,0
gauleg,yes,4,20,1.44043,0.177065,0.0814488,0
gaulag,yes,4,20,4.0413,0.194786,0.0104784,0
gauleg,yes,4,25,5.09951,0.18911,0.018967,0
gaulag,yes,4,25,13.5663,0.194804,0.0105751,0
gauleg,yes,4,30,14.1103,0.185796,0.0361583,0
gaulag,yes,4,30,38.1557,0.194779,0.010443,0
gauleg,yes,4,40,75.0441,0.18867,0.0212464,0
gaulag,yes,4,40,156.352,0.194669,0.009873,0
gauleg,yes,4,45,103.763,0.190128,0.0136823,0
gaulag,yes,4,45,278.201,0.194594,0.00948246,0
badMonteCarlo,yes,1,1000,0.000615,0.261548,0.356817,0.161545
goodMonteCarlo,yes,1,1000,0.000778,0.211455,0.0969546,0.0410659
badMonteCarlo,yes,1,10000,0.00484,0.113429,0.41157,0.0216684
goodMonteCarlo,yes,1,10000,0.007658,0.196032,0.0169427,0.00833656
badMonteCarlo,yes,1,100000,0.048237,0.233435,0.210977,0.0327132
goodMonteCarlo,yes,1,100000,0.043179,0.188559,0.0218251,0.00283628
badMonteCarlo,yes,1,1000000,0.287232,0.186703,0.0314495,0.00638185
goodMonteCarlo,yes,1,1000000,0.416599,0.192679,0.000451243,0.00101815
badMonteCarlo,yes,1,1000000,0.286564,0.207279,0.0752906,0.0107769
goodMonteCarlo,yes,1,1000000,0.418435,0.192751,7.48412e-05,0.00104211
badMonteCarlo,yes,1,1000000,0.287356,0.188276,0.0232893,0.0071486
goodMonteCarlo,yes,1,1000000,0.422078,0.191977,0.00409275,0.00098517
badMonteCarlo,yes,1,10000000,3.33687,0.188142,0.0239855,0.00292628
goodMonteCarlo,yes,1,10000000,4.72487,0.192907,0.000734193,0.000321025
