temperature,matrix_size,steps,energy_pP,energySquared_total,magnetic_pP,magneticSquared_total,magneticAbsolute_pP,E_var,M_abs_var,Cv,Xi
2,40,980000,-1.7457095,7806201.6,0.91145153,2127913,0.91145153,2.8733241,0.75541763,0.71833102,0.37770882
2.05,40,980000,-1.7071001,7465903.3,0.89301783,2043425.6,0.89301783,3.4845935,1.1716548,0.82917158,0.57153892
2.1,40,980000,-1.6622401,7080116,0.86908966,1936628.5,0.86908966,4.2052535,1.8858881,0.95357223,0.89804195
2.15,40,980000,-1.6109588,6651970.4,0.83779146,1802258,0.83779146,5.1801601,3.3800007,1.1206404,1.5720934
2.2,40,980000,-1.5465945,6134354,0.33203225,1593108,0.78474747,6.8438215,10.366729,1.4140127,4.7121493
2.25,40,980000,-1.4665233,5520267.5,-0.21585262,1280182.3,0.69372075,9.0621968,30.116368,1.7900636,13.385052
2.3,40,980000,-1.3677593,4806179.3,0.050975264,821328.57,0.52797435,10.637036,67.319285,2.0107819,29.269254
2.35,40,980000,-1.2759423,4181776.5,-0.011331492,433425.93,0.35883237,8.7642723,64.874132,1.5870117,27.606013
2,60,980000,-1.7458091,39510547,0.91141956,10768474,0.91141956,2.8943593,0.77469043,0.72358983,0.38734522
2.05,60,980000,-1.7066759,37761766,0.89257041,10329412,0.89257041,3.5054917,1.2260243,0.83414438,0.59806064
2.1,60,980000,-1.6621069,35818595,0.86882309,9790034.2,0.86882309,4.2527317,1.9810881,0.96433826,0.94337529
2.15,60,980000,-1.609762,33602590,0.83606678,9072405.2,0.83606678,5.2510618,3.6849558,1.1359788,1.7139329
2.2,60,980000,-1.5460573,31002791,0.78368508,8001418.4,0.78368508,6.8315403,11.631962,1.4114753,5.2872556
2.25,60,980000,-1.4646964,27838641,0.52106283,6208894,0.68176426,9.7475992,51.403769,1.9254517,22.846119
2.3,60,980000,-1.356741,23896593,-0.08002056,3123566.7,0.44840624,11.256235,143.81206,2.1278327,62.526982
2.35,60,980000,-1.2683748,20878807,0.0012838776,1196233.3,0.25615616,8.0799258,96.069518,1.463092,40.880646
2,80,980000,-1.7456224,1.2483185e+08,0.91135982,34025380,0.91135982,2.9128905,0.77452779,0.72822264,0.38726389
2.05,80,980000,-1.7065675,1.1931321e+08,0.89251894,32636358,0.89251894,3.5029452,1.2546764,0.83353842,0.61203727
2.1,80,980000,-1.6621068,1.1318329e+08,0.86861802,30917536,0.86861802,4.2555366,2.0824174,0.96497428,0.99162732
2.15,80,980000,-1.6100567,1.0621351e+08,0.83608697,28658167,0.83608697,5.2525288,3.9734046,1.1362961,1.8480952
2.2,80,980000,-1.5463368,97985946,0.78426949,25265511,0.78426949,6.896916,11.232788,1.4249826,5.1058127
2.25,80,980000,-1.4627306,87703365,-0.076399888,18956733,0.67042631,10.334493,85.372348,2.0413813,37.943266
2.3,80,980000,-1.3512647,74862082,-0.061303267,7586601.7,0.38517397,11.335848,235.90901,2.1428824,102.56913
2.35,80,980000,-1.2656738,65663350,0.011529113,2129426.3,0.18811653,7.545032,106.24076,1.3662349,45.208832
2,100,980000,-1.7456723,3.0476622e+08,0.91138774,83070454,0.91138774,2.9053361,0.76934253,0.72633403,0.38467126
2.05,100,980000,-1.7067899,2.9134803e+08,0.89275728,79713504,0.89275728,3.4847647,1.1948401,0.8292123,0.58284882
2.1,100,980000,-1.6620491,2.7628314e+08,0.86865937,75477202,0.86865937,4.2426891,2.0292074,0.96206101,0.96628926
2.15,100,980000,-1.6096907,2.5916281e+08,0.83595375,69919005,0.83595375,5.2401724,3.7137203,1.133623,1.7273118
2.2,100,980000,-1.5465627,2.3925553e+08,0.78399795,61601309,0.78399795,6.9895711,13.602983,1.4441263,6.1831739
2.25,100,980000,-1.4631967,2.1419717e+08,0.32682896,46168964,0.67332974,10.270217,83.167012,2.0286849,36.963117
2.3,100,980000,-1.3480252,1.818268e+08,0.022489959,14141010,0.33017727,10.959899,323.93072,2.0718145,140.83944
2.35,100,980000,-1.2649986,1.6009595e+08,0.0031380463,3210113.4,0.14487008,7.3812896,111.13795,1.3365848,47.292743
