Temperature,matrix_size,index,energies,magnetisation,accepted_configurations
2.4,20,0,-252,8,229
2.4,20,1000,-493.74,185.634,108233
2.4,20,2000,-493.546,176.114,216702
2.4,20,3000,-489.271,164.942,329767
2.4,20,4000,-490.059,163.641,438379
2.4,20,5000,-496.515,178.292,536187
2.4,20,6000,-494.696,174.879,647310
2.4,20,7000,-493.192,173.696,758983
2.4,20,8000,-493.163,175.91,867650
2.4,20,9000,-490.868,170.746,983543
2.4,20,10000,-491.783,172.395,1090058
2.4,20,11000,-491.4,171.232,1201177
2.4,20,12000,-488.491,164.5,1323363
2.4,20,13000,-489.775,166.939,1427189
2.4,20,14000,-490.256,168.06,1534164
2.4,20,15000,-491.544,170.35,1636423
2.4,20,16000,-493.55,174.74,1733913
2.4,20,17000,-493.294,173.17,1844127
2.4,20,18000,-493.609,174.22,1950246
2.4,20,19000,-492.745,171.846,2064874
2.4,20,20000,-493.105,173.204,2171314
2.4,20,21000,-493.31,173.792,2278492
2.4,20,22000,-493.314,173.761,2387344
2.4,20,23000,-493.795,175.401,2491594
2.4,20,24000,-493.633,175.4,2600877
2.4,20,25000,-493.693,175.63,2708943
2.4,20,26000,-493.519,175.163,2818465
2.4,20,27000,-493.176,174.764,2929779
2.4,20,28000,-493.151,174.748,3037987
2.4,20,29000,-493.167,174.688,3146354
2.4,20,30000,-492.113,172.104,3266961
2.4,20,31000,-492.66,173.381,3369517
2.4,20,32000,-492.859,173.985,3475898
2.4,20,33000,-492.902,173.95,3583913
2.4,20,34000,-493.163,174.372,3689117
2.4,20,35000,-493.097,174.203,3797937
2.4,20,36000,-493.068,174.205,3907205
2.4,20,37000,-493.283,174.618,4012400
2.4,20,38000,-493.922,176.148,4111325
2.4,20,39000,-493.998,176.337,4218763
2.4,20,40000,-494.417,177.421,4320838
2.4,20,41000,-494.894,178.479,4420954
2.4,20,42000,-495.232,179.588,4523083
2.4,20,43000,-495.273,179.591,4630184
2.4,20,44000,-495.533,179.969,4733345
2.4,20,45000,-495.878,180.837,4835249
2.4,20,46000,-495.363,179.805,4950796
2.4,20,47000,-495.75,180.947,5051991
2.4,20,48000,-495.604,180.807,5162170
2.4,20,49000,-496.007,181.984,5261672
2.4,20,50000,-496.236,182.688,5365024
2.4,20,51000,-496.648,183.434,5464747
2.4,20,52000,-496.45,182.963,5575275
2.4,20,53000,-496.195,182.613,5687358
2.4,20,54000,-496.303,183,5792012
2.4,20,55000,-496.413,183.361,5896222
2.4,20,56000,-496.142,182.983,6008339
2.4,20,57000,-496.353,183.42,6111401
2.4,20,58000,-496.538,183.98,6214198
2.4,20,59000,-496.631,184.372,6318830
2.4,20,60000,-496.872,184.769,6419847
2.4,20,61000,-496.653,184.306,6532274
2.4,20,62000,-496.454,183.966,6644285
2.4,20,63000,-496.576,184.123,6749043
2.4,20,64000,-496.645,184.313,6853923
2.4,20,65000,-496.625,184.136,6961668
2.4,20,66000,-496.55,184.052,7070960
2.4,20,67000,-496.651,184.272,7175671
2.4,20,68000,-496.588,183.99,7284238
2.4,20,69000,-496.606,184.177,7391437
2.4,20,70000,-496.739,184.646,7494411
2.4,20,71000,-496.691,184.573,7602559
2.4,20,72000,-496.562,184.427,7713217
2.4,20,73000,-496.453,184.211,7822682
2.4,20,74000,-496.614,184.518,7925335
2.4,20,75000,-496.66,184.745,8031433
2.4,20,76000,-496.742,184.835,8136272
2.4,20,77000,-497.074,185.479,8234068
2.4,20,78000,-496.937,185.058,8344945
2.4,20,79000,-496.972,184.948,8451211
2.4,20,80000,-497.07,185.133,8554853
2.4,20,81000,-497.169,185.275,8658460
2.4,20,82000,-497.247,185.488,8762940
2.4,20,83000,-497.056,184.969,8875619
2.4,20,84000,-497.045,184.91,8982470
2.4,20,85000,-496.913,184.721,9094264
2.4,20,86000,-497.284,185.452,9189088
2.4,20,87000,-497.336,185.663,9294187
2.4,20,88000,-497.24,185.562,9404660
2.4,20,89000,-497.222,185.485,9512430
2.4,20,90000,-496.986,184.99,9627085
2.4,20,91000,-496.727,184.35,9743323
2.4,20,92000,-496.729,184.347,9850053
2.4,20,93000,-496.816,184.46,9954119
2.4,20,94000,-496.817,184.526,10061192
2.4,20,95000,-496.632,184.157,10174544
2.4,20,96000,-496.53,184.09,10285177
2.4,20,97000,-496.432,183.892,10395551
2.4,20,98000,-496.598,184.262,10496052
2.4,20,99000,-496.635,184.418,10601710
2.4,20,100000,-496.731,184.595,10704494
2.4,20,101000,-496.763,184.639,10810315
2.4,20,102000,-496.683,184.51,10920500
2.4,20,103000,-496.623,184.397,11030143
2.4,20,104000,-496.853,184.866,11128214
2.4,20,105000,-496.96,185.122,11230959
2.4,20,106000,-496.868,184.881,11341910
2.4,20,107000,-496.561,184.225,11460695
2.4,20,108000,-496.555,184.234,11568300
2.4,20,109000,-496.542,184.222,11675752
2.4,20,110000,-496.59,184.39,11781122
2.4,20,111000,-496.539,184.361,11890082
2.4,20,112000,-496.568,184.429,11996466
2.4,20,113000,-496.631,184.528,12101331
2.4,20,114000,-496.449,184.232,12216220
2.4,20,115000,-496.279,183.889,12330969
2.4,20,116000,-496.274,183.908,12438649
2.4,20,117000,-496.256,183.744,12547019
2.4,20,118000,-496.359,183.906,12649433
2.4,20,119000,-496.572,184.258,12747751
2.4,20,120000,-496.678,184.496,12850238
2.4,20,121000,-496.798,184.764,12951712
2.4,20,122000,-496.806,184.785,13058158
2.4,20,123000,-496.547,184.362,13177066
2.4,20,124000,-496.583,184.531,13282502
2.4,20,125000,-496.501,184.399,13393329
2.4,20,126000,-496.454,184.251,13502335
2.4,20,127000,-496.372,184.092,13613178
2.4,20,128000,-496.341,184.086,13721687
2.4,20,129000,-496.322,184.138,13829694
2.4,20,130000,-496.479,184.537,13929266
2.4,20,131000,-496.607,184.779,14030411
2.4,20,132000,-496.817,185.275,14127404
2.4,20,133000,-496.679,184.828,14241207
2.4,20,134000,-496.659,184.763,14348956
2.4,20,135000,-496.718,184.871,14453307
2.4,20,136000,-496.572,184.639,14567772
2.4,20,137000,-496.539,184.531,14676087
2.4,20,138000,-496.627,184.815,14778126
2.4,20,139000,-496.618,184.848,14886006
2.4,20,140000,-496.525,184.573,14997745
2.4,20,141000,-496.353,184.128,15113425
2.4,20,142000,-496.421,184.271,15217301
2.4,20,143000,-496.437,184.158,15323612
2.4,20,144000,-496.543,184.417,15424671
2.4,20,145000,-496.518,184.391,15533509
2.4,20,146000,-496.551,184.453,15638456
2.4,20,147000,-496.55,184.45,15745714
2.4,20,148000,-496.574,184.467,15851979
2.4,20,149000,-496.494,184.235,15963447
2.4,20,150000,-496.581,184.417,16065682
2.4,20,151000,-496.557,184.248,16173942
2.4,20,152000,-496.554,184.317,16281241
2.4,20,153000,-496.548,184.343,16389062
2.4,20,154000,-496.652,184.469,16490201
2.4,20,155000,-496.583,184.265,16601583
2.4,20,156000,-496.616,184.322,16707028
2.4,20,157000,-496.755,184.608,16806098
2.4,20,158000,-496.67,184.333,16918196
2.4,20,159000,-496.564,184.13,17030904
2.4,20,160000,-496.542,184.054,17139468
2.4,20,161000,-496.506,183.912,17248264
2.4,20,162000,-496.426,183.738,17360698
2.4,20,163000,-496.494,183.888,17463767
2.4,20,164000,-496.462,183.836,17572739
2.4,20,165000,-496.326,183.561,17688201
2.4,20,166000,-496.345,183.659,17793744
2.4,20,167000,-496.483,183.995,17892291
2.4,20,168000,-496.419,183.886,18003412
2.4,20,169000,-496.348,183.83,18115076
2.4,20,170000,-496.278,183.68,18226929
2.4,20,171000,-496.198,183.424,18339194
2.4,20,172000,-496.084,183.187,18453634
2.4,20,173000,-496.102,183.307,18559501
2.4,20,174000,-496.013,183.164,18672228
2.4,20,175000,-496.196,183.553,18767609
2.4,20,176000,-496.227,183.617,18872452
2.4,20,177000,-496.205,183.57,18980972
2.4,20,178000,-496.216,183.651,19087267
2.4,20,179000,-496.102,183.36,19202143
2.4,20,180000,-496.163,183.462,19305152
2.4,20,181000,-496.096,183.313,19417019
2.4,20,182000,-496.17,183.519,19519266
2.4,20,183000,-496.343,183.869,19614549
2.4,20,184000,-496.271,183.699,19726769
2.4,20,185000,-496.306,183.823,19831407
2.4,20,186000,-496.316,183.893,19937909
2.4,20,187000,-496.189,183.67,20054290
2.4,20,188000,-496.136,183.527,20165316
2.4,20,189000,-496.161,183.605,20270883
2.4,20,190000,-496.17,183.617,20377674
2.4,20,191000,-496.124,183.492,20487941
2.4,20,192000,-496.174,183.552,20591424
2.4,20,193000,-496.152,183.526,20700106
2.4,20,194000,-496.136,183.529,20808103
2.4,20,195000,-496.149,183.592,20913995
2.4,20,196000,-496.051,183.449,21027689
2.4,20,197000,-496.053,183.458,21135044
2.4,20,198000,-496.043,183.442,21242462
2.4,20,199000,-496.127,183.584,21343578
2.4,20,200000,-496.096,183.57,21452991
2.4,20,201000,-496.132,183.616,21557702
2.4,20,202000,-496.059,183.48,21670279
2.4,20,203000,-495.99,183.257,21782793
2.4,20,204000,-495.985,183.311,21890543
2.4,20,205000,-495.963,183.306,21998727
2.4,20,206000,-495.954,183.328,22106511
2.4,20,207000,-495.973,183.395,22212346
2.4,20,208000,-496.006,183.464,22316839
2.4,20,209000,-496.149,183.787,22413154
2.4,20,210000,-496.153,183.788,22519708
2.4,20,211000,-496.05,183.584,22634588
2.4,20,212000,-496.07,183.632,22740166
2.4,20,213000,-496.039,183.515,22849641
2.4,20,214000,-495.953,183.343,22963897
2.4,20,215000,-495.939,183.393,23072790
2.4,20,216000,-496.011,183.574,23174528
2.4,20,217000,-496.134,183.835,23271681
2.4,20,218000,-496.076,183.611,23383442
2.4,20,219000,-496.075,183.702,23490835
2.4,20,220000,-496.051,183.644,23600075
2.4,20,221000,-495.969,183.44,23713769
2.4,20,222000,-495.938,183.393,23823713
2.4,20,223000,-496.005,183.533,23925485
2.4,20,224000,-496.046,183.583,24028907
2.4,20,225000,-496.101,183.632,24131789
2.4,20,226000,-496.022,183.388,24245771
2.4,20,227000,-495.962,183.28,24358302
2.4,20,228000,-496.023,183.436,24460877
2.4,20,229000,-496.118,183.664,24559515
2.4,20,230000,-496.11,183.657,24667098
2.4,20,231000,-495.994,183.405,24785066
2.4,20,232000,-495.98,183.338,24893749
2.4,20,233000,-496.005,183.415,24999154
2.4,20,234000,-495.986,183.386,25108138
2.4,20,235000,-495.918,183.223,25221157
2.4,20,236000,-495.876,183.12,25332489
2.4,20,237000,-495.843,183.111,25442633
2.4,20,238000,-495.864,183.193,25548433
2.4,20,239000,-495.757,183.033,25666035
2.4,20,240000,-495.636,182.775,25783327
2.4,20,241000,-495.574,182.633,25896258
2.4,20,242000,-495.549,182.614,26006112
2.4,20,243000,-495.534,182.571,26115570
2.4,20,244000,-495.542,182.538,26223077
2.4,20,245000,-495.511,182.459,26333579
2.4,20,246000,-495.425,182.256,26448730
2.4,20,247000,-495.498,182.428,26548884
2.4,20,248000,-495.515,182.464,26654859
2.4,20,249000,-495.414,182.299,26771861
2.4,20,250000,-495.37,182.3,26883403
2.4,20,251000,-495.339,182.201,26994301
2.4,20,252000,-495.382,182.314,27097823
2.4,20,253000,-495.366,182.304,27206517
2.4,20,254000,-495.437,182.431,27307364
2.4,20,255000,-495.439,182.376,27414515
2.4,20,256000,-495.375,182.232,27527815
2.4,20,257000,-495.405,182.314,27632256
2.4,20,258000,-495.37,182.253,27742939
2.4,20,259000,-495.38,182.32,27849497
2.4,20,260000,-495.381,182.354,27956669
2.4,20,261000,-495.389,182.353,28062722
2.4,20,262000,-495.349,182.323,28173796
2.4,20,263000,-495.346,182.35,28281455
2.4,20,264000,-495.324,182.347,28390902
2.4,20,265000,-495.245,182.14,28506458
2.4,20,266000,-495.229,182.117,28615684
2.4,20,267000,-495.177,182.007,28727605
2.4,20,268000,-495.092,181.865,28843485
2.4,20,269000,-495.104,181.919,28949867
2.4,20,270000,-495.092,181.897,29058960
2.4,20,271000,-495.083,181.874,29167364
2.4,20,272000,-495.115,181.997,29271746
2.4,20,273000,-495.197,182.129,29371455
2.4,20,274000,-495.142,182.065,29484637
2.4,20,275000,-495.162,182.11,29590837
2.4,20,276000,-495.151,182.09,29699705
2.4,20,277000,-495.164,182.142,29806157
2.4,20,278000,-495.259,182.35,29903896
2.4,20,279000,-495.366,182.546,30001013
2.4,20,280000,-495.307,182.367,30114877
2.4,20,281000,-495.221,182.174,30231615
2.4,20,282000,-495.171,182.089,30344535
2.4,20,283000,-495.199,182.159,30449924
2.4,20,284000,-495.135,181.916,30564642
2.4,20,285000,-495.034,181.73,30682991
2.4,20,286000,-495.071,181.82,30786193
2.4,20,287000,-495.062,181.79,30894785
2.4,20,288000,-495.064,181.77,31002150
2.4,20,289000,-495.073,181.818,31108808
2.4,20,290000,-495.072,181.807,31216347
2.4,20,291000,-495.025,181.636,31329528
2.4,20,292000,-495.014,181.622,31438482
2.4,20,293000,-494.996,181.587,31548381
2.4,20,294000,-495.037,181.672,31651806
2.4,20,295000,-495.028,181.684,31761066
2.4,20,296000,-495.05,181.759,31866296
2.4,20,297000,-495.127,181.907,31965430
2.4,20,298000,-495.069,181.787,32079447
2.4,20,299000,-495.07,181.737,32186875
2.4,20,300000,-495.142,181.882,32286609
2.4,20,301000,-495.163,181.928,32392119
2.4,20,302000,-495.191,182.004,32497125
2.4,20,303000,-495.151,181.929,32609192
2.4,20,304000,-495.052,181.631,32728175
2.4,20,305000,-495.083,181.739,32831648
2.4,20,306000,-495.096,181.811,32937365
2.4,20,307000,-495.077,181.765,33047380
2.4,20,308000,-495.052,181.772,33157882
2.4,20,309000,-495.096,181.912,33259984
2.4,20,310000,-495.076,181.9,33369772
2.4,20,311000,-495.04,181.85,33481672
2.4,20,312000,-495,181.787,33593849
2.4,20,313000,-495.009,181.871,33700172
2.4,20,314000,-495.119,182.097,33794968
2.4,20,315000,-495.103,182.097,33903973
2.4,20,316000,-495.152,182.204,34005335
2.4,20,317000,-495.059,182.032,34123798
2.4,20,318000,-495.053,182.054,34232238
2.4,20,319000,-495.035,182.029,34342215
2.4,20,320000,-494.992,181.942,34455148
2.4,20,321000,-494.975,181.856,34564918
2.4,20,322000,-494.961,181.846,34674494
2.4,20,323000,-494.96,181.853,34781693
2.4,20,324000,-494.908,181.774,34895524
2.4,20,325000,-494.862,181.622,35008575
2.4,20,326000,-494.807,181.502,35122788
2.4,20,327000,-494.792,181.409,35232834
2.4,20,328000,-494.737,181.257,35347831
2.4,20,329000,-494.722,181.205,35457802
2.4,20,330000,-494.751,181.284,35562269
2.4,20,331000,-494.732,181.23,35672132
2.4,20,332000,-494.699,181.183,35783715
2.4,20,333000,-494.689,181.172,35892319
2.4,20,334000,-494.669,181.179,36002389
2.4,20,335000,-494.669,181.191,36110267
2.4,20,336000,-494.679,181.23,36216836
2.4,20,337000,-494.627,181.102,36331128
2.4,20,338000,-494.625,181.093,36439735
2.4,20,339000,-494.649,181.178,36544630
2.4,20,340000,-494.606,181.161,36658001
2.4,20,341000,-494.561,181.068,36771310
2.4,20,342000,-494.564,181.094,36878303
2.4,20,343000,-494.579,181.107,36984502
2.4,20,344000,-494.601,181.136,37089875
2.4,20,345000,-494.611,181.19,37196392
2.4,20,346000,-494.634,181.217,37300969
2.4,20,347000,-494.613,181.17,37411186
2.4,20,348000,-494.614,181.129,37519093
2.4,20,349000,-494.617,181.112,37626498
2.4,20,350000,-494.606,181.12,37735740
2.4,20,351000,-494.592,181.06,37845306
2.4,20,352000,-494.651,181.171,37945745
2.4,20,353000,-494.688,181.256,38049434
2.4,20,354000,-494.701,181.32,38155493
2.4,20,355000,-494.717,181.386,38261066
2.4,20,356000,-494.726,181.348,38367585
2.4,20,357000,-494.743,181.385,38473363
2.4,20,358000,-494.745,181.361,38580708
2.4,20,359000,-494.791,181.479,38682561
2.4,20,360000,-494.824,181.558,38786151
2.4,20,361000,-494.854,181.635,38889654
2.4,20,362000,-494.886,181.721,38993459
2.4,20,363000,-494.925,181.816,39095165
2.4,20,364000,-494.909,181.829,39205471
2.4,20,365000,-494.894,181.824,39315050
2.4,20,366000,-494.906,181.867,39420857
2.4,20,367000,-495.012,182.086,39514434
2.4,20,368000,-495.017,182.082,39621327
2.4,20,369000,-494.992,182.055,39731980
2.4,20,370000,-494.96,181.977,39843381
2.4,20,371000,-494.961,181.947,39951354
2.4,20,372000,-494.937,181.846,40062185
2.4,20,373000,-494.959,181.934,40166555
2.4,20,374000,-494.953,181.916,40274731
2.4,20,375000,-494.998,182.008,40375943
2.4,20,376000,-495.03,182.068,40478726
2.4,20,377000,-495.025,182.055,40586990
2.4,20,378000,-495.098,182.198,40684141
2.4,20,379000,-495.105,182.242,40790124
2.4,20,380000,-495.061,182.166,40903238
2.4,20,381000,-495.101,182.24,41005648
2.4,20,382000,-495.072,182.224,41117254
2.4,20,383000,-495.097,182.311,41220844
2.4,20,384000,-495.114,182.321,41325485
2.4,20,385000,-495.076,182.222,41438179
2.4,20,386000,-495.048,182.138,41550122
2.4,20,387000,-495.094,182.245,41650495
2.4,20,388000,-495.044,182.139,41764910
