Temperature,matrix_size,index,energies,magnetisation,accepted_configurations
2.4,20,0,8,-18,0
2.4,20,1000,-465.064,108.876,119295
2.4,20,2000,-468.9,121.797,235720
2.4,20,3000,-479.319,144.695,341409
2.4,20,4000,-475.383,135.108,460828
2.4,20,5000,-481.544,148.919,564743
2.4,20,6000,-486.694,159.437,666274
2.4,20,7000,-488.991,164.414,771202
2.4,20,8000,-489.712,168.73,878990
2.4,20,9000,-493.097,175.528,977227
2.4,20,10000,-494.084,177.059,1081612
2.4,20,11000,-493.647,177.017,1191704
2.4,20,12000,-495.827,181.629,1289706
2.4,20,13000,-495.179,179.297,1399932
2.4,20,14000,-495.348,178.692,1507463
2.4,20,15000,-494.532,178.102,1619253
2.4,20,16000,-493.534,176.381,1732459
2.4,20,17000,-494.177,177.931,1836072
2.4,20,18000,-492.83,175.21,1953133
2.4,20,19000,-491.497,172.954,2070893
2.4,20,20000,-490.598,171.141,2186923
2.4,20,21000,-491.56,173.634,2288351
2.4,20,22000,-491.845,174.136,2394443
2.4,20,23000,-492.956,176.525,2493319
2.4,20,24000,-492.581,175.92,2605060
2.4,20,25000,-492.786,175.7,2712034
2.4,20,26000,-492.926,176.654,2819149
2.4,20,27000,-492.165,175.001,2935234
2.4,20,28000,-492.4,175.604,3041618
2.4,20,29000,-492.809,176.488,3146049
2.4,20,30000,-493.483,178.099,3246990
2.4,20,31000,-493.629,178.459,3353669
2.4,20,32000,-493.014,176.871,3468821
2.4,20,33000,-493.099,176.745,3575827
2.4,20,34000,-492.801,176.469,3687686
2.4,20,35000,-492.401,176.047,3801742
2.4,20,36000,-492.407,175.916,3910522
2.4,20,37000,-492.059,174.935,4023906
2.4,20,38000,-491.983,174.893,4134294
2.4,20,39000,-492.377,175.644,4237265
2.4,20,40000,-492.276,175.168,4348226
2.4,20,41000,-492.296,175.176,4456370
2.4,20,42000,-492.43,175.065,4563022
2.4,20,43000,-492.093,174.066,4676775
2.4,20,44000,-492.514,175.498,4778291
2.4,20,45000,-492.927,176.796,4879627
2.4,20,46000,-492.835,176.702,4989740
2.4,20,47000,-492.832,176.609,5098272
2.4,20,48000,-493.055,177.17,5202997
2.4,20,49000,-493.198,177.553,5308262
2.4,20,50000,-493.036,177.316,5419383
2.4,20,51000,-493.202,177.887,5524696
2.4,20,52000,-493.334,178.58,5630543
2.4,20,53000,-493.437,179.059,5736647
2.4,20,54000,-493.724,179.722,5838415
2.4,20,55000,-493.97,180.299,5941216
2.4,20,56000,-493.699,179.713,6055477
2.4,20,57000,-493.758,179.695,6162492
2.4,20,58000,-493.854,179.906,6268671
2.4,20,59000,-493.835,179.922,6377242
2.4,20,60000,-494.06,180.411,6479804
2.4,20,61000,-493.962,180.423,6590193
2.4,20,62000,-493.941,180.551,6698177
2.4,20,63000,-493.987,180.693,6804921
2.4,20,64000,-494.113,180.816,6909947
2.4,20,65000,-493.998,180.398,7020926
2.4,20,66000,-493.817,180.032,7133365
2.4,20,67000,-493.938,180.447,7238110
2.4,20,68000,-494.426,181.313,7333566
2.4,20,69000,-494.63,181.79,7436033
2.4,20,70000,-494.62,181.818,7543813
2.4,20,71000,-494.778,182.1,7647384
2.4,20,72000,-494.812,182.13,7754156
2.4,20,73000,-494.602,181.602,7868107
2.4,20,74000,-494.694,181.751,7973356
2.4,20,75000,-494.853,182.022,8076558
2.4,20,76000,-494.825,181.845,8185352
2.4,20,77000,-494.829,182.011,8292305
2.4,20,78000,-494.806,182.014,8400502
2.4,20,79000,-494.763,181.975,8509429
2.4,20,80000,-494.751,182.125,8617003
2.4,20,81000,-494.798,182.237,8723270
2.4,20,82000,-494.795,182.053,8831197
2.4,20,83000,-494.763,181.985,8939699
2.4,20,84000,-494.738,182.047,9047609
2.4,20,85000,-494.636,181.765,9158868
2.4,20,86000,-494.686,181.9,9265289
2.4,20,87000,-494.646,181.859,9374544
2.4,20,88000,-494.653,181.969,9482131
2.4,20,89000,-494.41,181.527,9597829
2.4,20,90000,-494.491,181.838,9702639
2.4,20,91000,-494.466,181.865,9811360
2.4,20,92000,-494.585,182.169,9914823
2.4,20,93000,-494.592,182.174,10021784
2.4,20,94000,-494.605,182.202,10129410
2.4,20,95000,-494.63,182.234,10236125
2.4,20,96000,-494.802,182.617,10337698
2.4,20,97000,-494.76,182.452,10447231
2.4,20,98000,-494.545,181.85,10562615
2.4,20,99000,-494.312,181.499,10678497
