Temperature,matrix_size,index,energies,magnetisation,accepted_configurations
1,20,0,-800,400,0
1,20,1000,-799.9,400.172,260
1,20,2000,-799.422,399.952,512
1,20,3000,-799.267,399.877,819
1,20,4000,-799.2,399.842,1106
1,20,5000,-799.129,399.815,1392
1,20,6000,-799.075,399.795,1704
1,20,7000,-799.041,399.782,1978
1,20,8000,-799.01,399.771,2262
1,20,9000,-798.993,399.764,2538
1,20,10000,-799.008,399.765,2784
1,20,11000,-799,399.762,3076
1,20,12000,-798.984,399.757,3380
1,20,13000,-798.985,399.756,3662
1,20,14000,-798.978,399.753,3944
1,20,15000,-798.977,399.752,4232
1,20,16000,-798.976,399.751,4494
1,20,17000,-798.966,399.747,4792
1,20,18000,-798.954,399.744,5090
1,20,19000,-798.955,399.743,5352
1,20,20000,-798.954,399.743,5650
1,20,21000,-798.96,399.743,5936
1,20,22000,-798.958,399.743,6208
1,20,23000,-798.94,399.738,6524
1,20,24000,-798.942,399.738,6802
1,20,25000,-798.942,399.738,7100
1,20,26000,-798.936,399.736,7384
1,20,27000,-798.942,399.737,7632
1,20,28000,-798.94,399.736,7904
1,20,29000,-798.94,399.736,8200
1,20,30000,-798.929,399.733,8508
1,20,31000,-798.924,399.732,8810
1,20,32000,-798.923,399.732,9106
1,20,33000,-798.919,399.73,9436
1,20,34000,-798.918,399.73,9720
1,20,35000,-798.908,399.727,10040
1,20,36000,-798.912,399.728,10314
1,20,37000,-798.91,399.727,10598
1,20,38000,-798.907,399.726,10892
1,20,39000,-798.904,399.725,11202
1,20,40000,-798.905,399.725,11492
1,20,41000,-798.907,399.726,11792
1,20,42000,-798.909,399.726,12048
1,20,43000,-798.9,399.724,12388
1,20,44000,-798.896,399.722,12708
1,20,45000,-798.895,399.722,13016
1,20,46000,-798.888,399.72,13330
1,20,47000,-798.882,399.718,13646
1,20,48000,-798.885,399.719,13922
1,20,49000,-798.887,399.719,14182
1,20,50000,-798.89,399.72,14422
1,20,51000,-798.888,399.719,14705
1,20,52000,-798.883,399.718,14992
1,20,53000,-798.884,399.718,15276
1,20,54000,-798.888,399.719,15564
1,20,55000,-798.887,399.719,15862
1,20,56000,-798.885,399.718,16140
1,20,57000,-798.886,399.718,16430
1,20,58000,-798.885,399.718,16710
1,20,59000,-798.889,399.719,16952
1,20,60000,-798.887,399.718,17248
1,20,61000,-798.889,399.719,17502
1,20,62000,-798.89,399.719,17782
1,20,63000,-798.888,399.719,18084
1,20,64000,-798.887,399.718,18363
1,20,65000,-798.886,399.718,18674
1,20,66000,-798.886,399.718,18936
1,20,67000,-798.885,399.718,19194
1,20,68000,-798.886,399.718,19486
1,20,69000,-798.887,399.718,19730
1,20,70000,-798.889,399.719,20018
1,20,71000,-798.888,399.718,20316
1,20,72000,-798.885,399.717,20634
1,20,73000,-798.883,399.717,20934
1,20,74000,-798.887,399.718,21184
1,20,75000,-798.889,399.718,21454
1,20,76000,-798.888,399.718,21780
1,20,77000,-798.885,399.717,22102
1,20,78000,-798.886,399.718,22380
1,20,79000,-798.886,399.718,22684
1,20,80000,-798.887,399.718,22927
1,20,81000,-798.889,399.718,23188
1,20,82000,-798.891,399.719,23410
1,20,83000,-798.893,399.719,23676
1,20,84000,-798.888,399.718,24030
1,20,85000,-798.89,399.718,24326
1,20,86000,-798.89,399.719,24594
1,20,87000,-798.889,399.718,24932
1,20,88000,-798.888,399.718,25233
1,20,89000,-798.887,399.718,25550
1,20,90000,-798.887,399.717,25840
1,20,91000,-798.888,399.718,26138
1,20,92000,-798.889,399.718,26428
1,20,93000,-798.889,399.718,26720
1,20,94000,-798.89,399.718,26974
1,20,95000,-798.89,399.718,27230
1,20,96000,-798.89,399.718,27538
1,20,97000,-798.891,399.718,27804
1,20,98000,-798.89,399.718,28088
1,20,99000,-798.89,399.718,28392
