temperature,matrix_size,steps,energy_pP,energySquared_total,magnetic_pP,magneticSquared_total,magneticAbsolute_pP,E_var,M_abs_var,Cv,Xi
2.26,40,2970000,-1.4470575,5376024.6,0.0031781519,1190434.1,0.66377328,9.6548895,39.069364,1.8902987,17.287329
2.2625,40,2970000,-1.4421821,5340214.1,-0.044870787,1165767.9,0.65487168,9.8112819,42.433883,1.9166754,18.755308
2.265,40,2970000,-1.4374736,5305809.2,0.0049201557,1146163.2,0.64852059,10.002359,43.425688,1.9496921,19.172489
2.2675,40,2970000,-1.4335939,5277101.2,-0.054770235,1132341.7,0.64438144,9.8818891,43.349679,1.9219646,19.11783
2.27,40,2970000,-1.427962,5236225.8,-0.0023561254,1101922.1,0.63293065,10.120157,47.7394,1.9639731,21.030573
2.2725,40,2970000,-1.4234872,5203629.4,0.040817925,1084686.6,0.62739705,10.163122,48.125835,1.9679739,21.177485
2.275,40,2970000,-1.4185698,5168156.3,-0.034434683,1060000.1,0.61757246,10.353199,52.266852,2.0003766,22.97444
2.2775,40,2970000,-1.4135912,5131970.6,-0.06609083,1039121.6,0.61125099,10.297477,51.646536,1.9852448,22.676854
2.28,40,2970000,-1.4085866,5096057.5,0.0094512883,1013476.1,0.60115474,10.450082,55.203322,2.0102496,24.211983
2.2825,40,2970000,-1.4037603,5061296.1,-0.048308996,993292.12,0.59454207,10.441436,55.239145,2.004189,24.201159
2.285,40,2970000,-1.3982023,5021653.1,0.051159577,962959.06,0.58232194,10.581584,59.291268,2.0266478,25.948039
2.2875,40,2970000,-1.3931099,4985220.7,0.030189184,940529.01,0.57470048,10.554702,59.381601,2.017083,25.95917
2.29,40,2970000,-1.3879473,4948462.3,-0.0084153455,917525.65,0.56584042,10.55247,61.172918,2.0122558,26.713065
2.2925,40,2970000,-1.3834882,4916863.9,0.025959561,896751.4,0.5579918,10.576809,62.301873,2.0125003,27.176389
2.295,40,2970000,-1.3783437,4880410.8,0.0045846776,872596.4,0.54890622,10.526661,63.295885,1.9985971,27.579906
2.2975,40,2970000,-1.3729747,4842623.4,0.020486407,843780.33,0.53721295,10.544222,65.606305,1.9975769,28.555519
2.3,40,2970000,-1.3677465,4805921,-0.02281631,819767.1,0.52747276,10.531762,67.190427,1.9908813,29.213229
2.26,60,2970000,-1.4440178,27062079,-0.053541367,5643770.4,0.6440963,10.570031,74.217822,2.0694711,32.839744
2.2625,60,2970000,-1.4387,26864010,0.0092412854,5474472.5,0.63243967,10.737657,80.759049,2.0976467,35.694607
2.265,60,2970000,-1.4324965,26634185,0.0676809,5287606.2,0.61890294,11.017953,89.832461,2.1476549,39.661131
2.2675,60,2970000,-1.4280872,26471455,0.057009362,5163356.4,0.60907798,11.222747,98.752116,2.1827528,43.551099
2.27,60,2970000,-1.4229812,26282392,-0.0017400473,5050125.2,0.60280954,11.112829,94.646926,2.1566164,41.694681
2.2725,60,2970000,-1.4162835,26036708,0.060104505,4806814.2,0.58341582,11.326629,109.87968,2.193274,48.351896
2.275,60,2970000,-1.4115949,25865574,0.082054369,4699087.1,0.57624687,11.521566,109.88432,2.2261208,48.300801
2.2775,60,2970000,-1.407616,25719768,-0.073956368,4627528.5,0.57167546,11.402269,108.89841,2.1982369,47.814888
2.28,60,2970000,-1.4000772,25446232,0.018498467,4344073.7,0.54890538,11.619504,122.01752,2.2352077,53.516457
2.2825,60,2970000,-1.3951054,25266057,0.010878402,4204347.7,0.53772089,11.600706,126.95683,2.2267059,55.621832
2.285,60,2970000,-1.3896237,25067895,0.098926647,4055298.8,0.52693531,11.509439,126.89293,2.204356,55.533011
2.2875,60,2970000,-1.383936,24863565,-0.045725264,3887941,0.51368683,11.541405,130.03664,2.2056495,56.846618
2.29,60,2970000,-1.379502,24704313,0.057423553,3797455.8,0.50681289,11.416854,130.15533,2.1770855,56.836387
2.2925,60,2970000,-1.3739221,24505293,0.013064186,3621868.4,0.49225874,11.442845,133.72736,2.1772852,58.332547
2.295,60,2970000,-1.3664919,24241198,0.028456587,3356404.3,0.4678005,11.385495,144.52022,2.1616557,62.971775
2.2975,60,2970000,-1.3616893,24071074,-0.043062671,3238818.3,0.45855363,11.297426,142.69461,2.1402695,62.108646
2.3,60,2970000,-1.3566954,23894953,0.030946889,3101782.7,0.44673978,11.246264,143.13116,2.1259479,62.230939
2.26,80,2970000,-1.4421953,85264399,-0.036094721,16997230,0.63041851,11.027103,112.28121,2.1589599,49.681951
2.2625,80,2970000,-1.4372463,84682882,0.089790352,16538278,0.61979417,11.367273,125.57912,2.2206449,55.504583
2.265,80,2970000,-1.4314863,84006531,-0.014865677,15954199,0.60723189,11.441395,132.96803,2.2301936,58.70553
2.2675,80,2970000,-1.4264071,83413301,0.10165987,15485440,0.59596898,11.650274,146.45422,2.2659043,64.588408
2.27,80,2970000,-1.420726,82751783,0.056458749,14884687,0.58267755,11.806471,152.84824,2.2912285,67.334026
2.2725,80,2970000,-1.4141358,81988408,-0.049303821,14063365,0.561869,12.095548,176.94136,2.3421665,77.861983
2.275,80,2970000,-1.4088993,81382213,-0.031094434,13625017,0.55286257,11.98918,172.70407,2.3164699,75.913876
2.2775,80,2970000,-1.4019307,80580423,-0.020269095,12777359,0.53149139,12.069403,188.57045,2.3268534,82.797124
2.28,80,2970000,-1.3964416,79952857,0.050102901,12119425,0.51203618,12.319311,215.70149,2.3698274,94.605915
