temperature,matrix_size,steps,energy_pP,energySquared_total,magnetic_pP,magneticSquared_total,magneticAbsolute_pP,E_var,M_abs_var,Cv,Xi
2.2,40,3480000,-1.5468831,6136509,-0.65078376,1596816.7,0.78607043,6.762225,9.3597049,1.3971539,4.2544113
2.2214,40,3480000,-1.5148378,5886985.1,-0.3366162,1476190.8,0.75226867,7.7917927,17.16619,1.5790063,7.7276446
2.2428,40,3480000,-1.4782829,5608604.5,-0.15969669,1324264.2,0.70661208,8.8655146,28.78412,1.7624746,12.834011
2.2642,40,3480000,-1.439853,5323135.7,0.03401164,1157582.2,0.65235907,9.8770083,42.573086,1.926619,18.802706
2.2856,40,3480000,-1.3973799,5015771.9,-0.044206223,962013.86,0.58229095,10.584381,58.75826,2.0261193,25.708024
2.307,40,3480000,-1.3536551,4707732.7,-0.015805316,755554.39,0.5013613,10.521614,70.040449,1.9769113,30.359969
2.3284,40,3480000,-1.3127262,4427140.5,-0.018010244,574072.08,0.4240311,9.7628567,71.111244,1.8007845,30.54082
2.3498,40,3480000,-1.2773689,4191222.2,-0.007260917,441856.31,0.36254349,8.8397954,65.859741,1.6009598,28.027807
2.2,60,3480000,-1.5467398,31029929,0.78564513,8034510.3,0.78564514,6.770784,9.7505923,1.3989223,4.4320874
2.2214,60,3480000,-1.5141156,29739978,0.2145072,7367087.9,0.74981345,7.9397473,22.420567,1.6089893,10.09299
2.2428,60,3480000,-1.477836,28338042,0.046621335,6530418.4,0.70128504,9.2810083,43.522548,1.8450752,19.405452
2.2642,60,3480000,-1.4351075,26730571,-0.21000406,5380467.4,0.62606032,10.837611,83.548785,2.1139951,36.899914
2.2856,60,3480000,-1.3886305,25032441,-0.028467722,4028917.8,0.52434049,11.59464,129.38521,2.2195085,56.60886
2.307,60,3480000,-1.3425628,23399072,0.025540549,2739058,0.41415295,10.833003,143.36786,2.0354182,62.144715
2.3284,60,3480000,-1.3024777,22019281,-0.017728581,1769772.5,0.31958366,9.2535031,123.92209,1.7068328,53.221994
2.3498,60,3480000,-1.2690771,20901851,0.0035740203,1201577.3,0.25628662,8.0655335,97.313292,1.4607345,41.413436
2.2,80,3480000,-1.546547,98012180,0.78496779,25307530,0.78496779,6.8351858,10.785213,1.4122285,4.9023694
2.2214,80,3480000,-1.5147238,94028373,0.75228435,23302584,0.75228435,7.8483317,19.065594,1.5904639,8.5826928
2.2428,80,3480000,-1.4778167,89514419,0.14805919,20435677,0.70040668,9.3979524,53.429518,1.8683238,23.822685
2.2642,80,3480000,-1.4341157,84314110,0.068768556,16322146,0.61620972,11.276579,120.16302,2.1996207,53.070849
2.2856,80,3480000,-1.382803,78399933,-0.019169084,10663877,0.47439769,12.2661,225.89046,2.348043,98.832016
2.307,80,3480000,-1.3368265,73267432,-0.014111109,6253999.1,0.34325035,10.564328,223.13423,1.9849369,96.720517
2.3284,80,3480000,-1.2985164,69120436,0.00070936809,3592282.5,0.24928373,8.7411844,163.58292,1.6123343,70.255507
2.3498,80,3480000,-1.2663424,65733959,0.00039205226,2246016.8,0.19254943,7.7436765,113.65833,1.4024436,48.369364
2.2,100,3480000,-1.5465952,2.3926369e+08,0.78508102,61735425,0.78508102,6.7999875,10.020448,1.4049561,4.5547489
2.2214,100,3480000,-1.5143888,2.2941634e+08,0.75106972,56614688,0.75106972,7.899826,20.411549,1.6008992,9.1885969
2.2428,100,3480000,-1.4774876,2.1839105e+08,-0.58283895,49532035,0.70000264,9.4099798,53.166517,1.8707149,23.70542
2.2642,100,3480000,-1.4323322,2.052786e+08,-0.0037287463,38073730,0.60129402,12.104312,191.82811,2.361079,84.722246
2.2856,100,3480000,-1.3796449,1.9046782e+08,-0.056469155,22110642,0.43101599,12.582733,353.31638,2.4086545,154.58365
2.307,100,3480000,-1.3334949,1.7792249e+08,-0.023748848,10923589,0.28283172,10.161614,292.42112,1.9092707,126.75385
2.3284,100,3480000,-1.2971136,1.6833463e+08,0.0052197664,5919880.9,0.20116978,8.427019,187.2953,1.5543857,80.439485
2.3498,100,3480000,-1.2657123,1.6027811e+08,-0.00075564603,3443423.7,0.15083002,7.5357174,116.84543,1.3647805,49.72569
