temperature,matrix_size,steps,energy_pP,energySquared_total,magnetic_pP,magneticSquared_total,magneticAbsolute_pP,E_var,M_abs_var,Cv,Xi
2.265,40,3980000,-1.4390003,5316773.5,0.051965433,1158064.9,0.65297218,9.8282637,41.594272,1.9157569,18.363917
2.27214,40,3980000,-1.4233142,5202378.8,-0.030552036,1078809.6,0.62502903,10.169219,49.197935,1.9697787,21.652686
2.27928,40,3980000,-1.4091841,5100361.5,-0.033665104,1014020,0.60127727,10.446162,55.307528,2.0107654,24.26535
2.28642,40,3980000,-1.3954305,5001793.8,-0.06224463,950273,0.57787606,10.559196,59.615442,2.0198487,26.073706
2.29356,40,3980000,-1.3801697,4893433.1,-0.011627064,876836.72,0.54972374,10.606074,64.509037,2.0162038,28.12616
2.3007,40,3980000,-1.36759,4804793.1,0.021484677,825384.02,0.53060471,10.511837,65.398838,1.9859057,28.425626
2.30784,40,3980000,-1.3515799,4693324.4,-0.005396229,745053.15,0.49686527,10.498656,70.658071,1.9711619,30.616538
2.31498,40,3980000,-1.3394942,4609689,-0.012437305,698586.43,0.47885151,10.264114,69.738496,1.9152567,30.124881
2.265,60,3980000,-1.4335422,26672678,0.023173737,5339271.9,0.62254117,10.921412,87.924047,2.1288368,38.818564
2.27214,60,3980000,-1.4170116,26063664,0.015698817,4825755,0.58514823,11.38777,107.85306,2.2058121,47.467612
2.27928,60,3980000,-1.401416,25495210,0.04060789,4373908.6,0.55027224,11.722598,124.89629,2.2564646,54.79638
2.28642,60,3980000,-1.3869774,24972586,0.076336312,3995418.1,0.52194261,11.486566,129.11164,2.1972435,56.468907
2.29356,60,3980000,-1.3711801,24407601,0.0072707316,3526475.6,0.4831928,11.403543,139.06552,2.1678019,60.633041
2.3007,60,3980000,-1.3554372,23850410,-0.025115791,3067170.6,0.44345853,11.157979,144.03213,2.1079755,62.603613
2.30784,60,3980000,-1.3410579,23346291,0.01391122,2694195.5,0.40998306,10.710258,143.27764,2.010891,62.083005
2.31498,60,3980000,-1.3260951,22827440,-0.00072382496,2286511.5,0.37118027,10.254265,139.15283,1.9134189,60.109732
2.265,80,3980000,-1.4311158,83964508,0.034172356,15851483,0.60331816,11.66331,147.24029,2.27345,65.006752
2.27214,80,3980000,-1.414162,81991751,0.036952803,13999944,0.55990069,12.144828,181.16299,2.3524542,79.732319
2.27928,80,3980000,-1.3988783,80230963,-0.045745405,12491800,0.52329419,12.180813,199.28822,2.3446657,87.434726
2.28642,80,3980000,-1.3818047,78286886,0.015360645,10582167,0.47114155,12.266899,232.82773,2.3465118,101.83069
2.29356,80,3980000,-1.3661083,76517597,-0.0038478708,9070568.6,0.4299325,11.861846,234.28785,2.2549249,102.15031
2.3007,80,3980000,-1.3494007,74654693,-0.011137813,7328748.7,0.37788767,11.149437,231.20279,2.1063616,100.49237
2.30784,80,3980000,-1.3352247,73091405,-0.01359019,6092257.9,0.3381498,10.451526,220.10547,1.9623131,95.372933
2.31498,80,3980000,-1.3225207,71705783,-0.016191291,5223227.1,0.3085535,10.037676,206.81555,1.8730039,89.33794
2.265,100,3980000,-1.4299895,2.0460775e+08,-0.099447422,37108231,0.59255072,12.074253,199.6595,2.3535524,88.149891
2.27214,100,3980000,-1.4127309,1.9970791e+08,-0.10110695,31960572,0.54074945,12.704425,271.95752,2.4608482,119.69224
2.27928,100,3980000,-1.395743,1.9493866e+08,0.036735902,27151516,0.49009907,12.879759,313.18063,2.4792047,137.40332
2.28642,100,3980000,-1.3790064,1.9028964e+08,-0.037364445,22524811,0.43867427,12.376697,328.12995,2.3675151,143.51254
2.29356,100,3980000,-1.3620679,1.8564184e+08,-0.045957833,17588995,0.3749805,11.893926,352.79579,2.2610232,153.82017
2.3007,100,3980000,-1.3472851,1.8162872e+08,-0.0053649703,14158210,0.32964471,11.100718,329.16462,2.0971577,143.07151
2.30784,100,3980000,-1.3324007,1.7762994e+08,0.0059336357,10804490,0.28103326,10.077706,290.65204,1.892127,125.94116
2.31498,100,3980000,-1.3189589,1.7405859e+08,-0.0059353345,8437892.8,0.24410344,9.3318042,247.9244,1.7412901,107.0957
