Temperature,matrix_size,index,energies,magnetisation,accepted_configurations
1,20,0,8,-34,0
1,20,1000,-794.46,391.828,1659
1,20,2000,-796.62,395.757,1967
1,20,3000,-797.409,397.085,2213
1,20,4000,-797.761,397.738,2515
1,20,5000,-798.01,398.141,2781
1,20,6000,-798.119,398.394,3091
1,20,7000,-798.239,398.586,3379
1,20,8000,-798.33,398.73,3656
1,20,9000,-798.376,398.836,3975
1,20,10000,-798.426,398.924,4259
1,20,11000,-798.471,398.997,4531
1,20,12000,-798.491,399.054,4847
1,20,13000,-798.501,399.1,5151
1,20,14000,-798.526,399.143,5453
1,20,15000,-798.57,399.187,5683
1,20,16000,-798.576,399.216,5999
1,20,17000,-798.596,399.246,6301
1,20,18000,-798.623,399.275,6559
1,20,19000,-798.641,399.299,6861
1,20,20000,-798.652,399.32,7147
1,20,21000,-798.669,399.34,7441
1,20,22000,-798.67,399.355,7749
1,20,23000,-798.673,399.369,8055
1,20,24000,-798.684,399.384,8331
1,20,25000,-798.7,399.399,8555
1,20,26000,-798.71,399.412,8821
1,20,27000,-798.726,399.426,9079
1,20,28000,-798.718,399.433,9411
1,20,29000,-798.727,399.443,9708
1,20,30000,-798.734,399.453,9983
1,20,31000,-798.739,399.461,10281
1,20,32000,-798.734,399.467,10603
1,20,33000,-798.737,399.474,10911
1,20,34000,-798.744,399.482,11165
1,20,35000,-798.745,399.488,11453
1,20,36000,-798.747,399.494,11760
1,20,37000,-798.749,399.499,12073
1,20,38000,-798.756,399.506,12342
1,20,39000,-798.758,399.511,12617
1,20,40000,-798.756,399.515,12937
1,20,41000,-798.756,399.519,13249
1,20,42000,-798.757,399.523,13549
1,20,43000,-798.76,399.528,13889
1,20,44000,-798.768,399.533,14167
1,20,45000,-798.766,399.536,14481
1,20,46000,-798.77,399.54,14739
1,20,47000,-798.77,399.544,15023
1,20,48000,-798.771,399.547,15301
1,20,49000,-798.773,399.55,15585
1,20,50000,-798.772,399.553,15909
1,20,51000,-798.775,399.556,16177
1,20,52000,-798.779,399.56,16450
1,20,53000,-798.783,399.563,16727
1,20,54000,-798.783,399.565,17023
1,20,55000,-798.785,399.568,17309
1,20,56000,-798.788,399.571,17579
1,20,57000,-798.792,399.574,17855
1,20,58000,-798.797,399.578,18117
1,20,59000,-798.799,399.58,18396
1,20,60000,-798.801,399.582,18689
1,20,61000,-798.804,399.585,18981
1,20,62000,-798.803,399.586,19265
1,20,63000,-798.802,399.588,19585
1,20,64000,-798.805,399.59,19855
1,20,65000,-798.807,399.592,20135
1,20,66000,-798.809,399.595,20421
1,20,67000,-798.81,399.596,20729
1,20,68000,-798.81,399.598,21017
1,20,69000,-798.812,399.599,21299
1,20,70000,-798.814,399.602,21575
1,20,71000,-798.816,399.603,21863
1,20,72000,-798.813,399.604,22195
1,20,73000,-798.814,399.605,22505
1,20,74000,-798.815,399.607,22799
1,20,75000,-798.817,399.609,23086
1,20,76000,-798.816,399.61,23385
1,20,77000,-798.821,399.612,23603
1,20,78000,-798.818,399.612,23945
1,20,79000,-798.82,399.614,24219
1,20,80000,-798.821,399.615,24511
1,20,81000,-798.825,399.617,24741
1,20,82000,-798.826,399.618,25021
1,20,83000,-798.826,399.619,25263
1,20,84000,-798.826,399.62,25569
1,20,85000,-798.83,399.622,25801
1,20,86000,-798.831,399.624,26075
1,20,87000,-798.831,399.624,26407
1,20,88000,-798.83,399.625,26715
1,20,89000,-798.832,399.626,26957
1,20,90000,-798.834,399.628,27233
1,20,91000,-798.835,399.629,27507
1,20,92000,-798.833,399.629,27823
1,20,93000,-798.832,399.63,28141
1,20,94000,-798.834,399.631,28436
1,20,95000,-798.832,399.631,28793
1,20,96000,-798.832,399.632,29065
1,20,97000,-798.83,399.632,29392
1,20,98000,-798.831,399.633,29685
1,20,99000,-798.832,399.634,29963
