temperature,matrix_size,steps,energy_pP,energySquared_total,magnetic_pP,magneticSquared_total,magneticAbsolute_pP,E_var,M_abs_var,Cv,Xi
2.3,40,5980000,-1.367635,4805268.6,-0.017588407,820440.41,0.5277927,10.612249,67.071048,2.0060963,29.161325
2.3033333,40,5980000,-1.360913,4758194.1,0.015034146,789561.59,0.51558935,10.536668,68.144184,1.9860478,29.585029
2.3066667,40,5980000,-1.3542895,4712110.7,0.0063195497,758659.58,0.50288079,10.509145,69.539685,1.9751391,30.147262
2.31,40,5980000,-1.3477114,4666409.8,0.024800541,729061.82,0.49117454,10.384697,69.65975,1.9461212,30.155736
2.3133333,40,5980000,-1.3420047,4626991.7,0.009108501,707223.14,0.48215511,10.307095,70.056782,1.9260158,30.283912
2.3166667,40,5980000,-1.335145,4579743.7,0.0098547561,672864.79,0.46755063,10.160279,70.774743,1.8931217,30.550249
2.32,40,5980000,-1.3292348,4539311.6,0.0053232605,647950.11,0.45660989,10.0856,71.38067,1.873811,30.76753
2.3233333,40,5980000,-1.3226763,4494597.7,0.0036779676,620062.58,0.4445973,9.9672117,71.2723,1.8465056,30.676743
2.3266667,40,5980000,-1.3165699,4453153.6,-0.0049886754,594829.89,0.43353311,9.8507134,71.047157,1.8196981,30.536028
2.33,40,5980000,-1.3108566,4414507.8,-0.0059741273,571914.87,0.42335218,9.7152138,70.683492,1.7895363,30.336263
2.3333333,40,5980000,-1.3045442,4371997.6,-0.0026476775,543048.65,0.40996732,9.5614639,70.488279,1.7561872,30.209263
2.3366667,40,5980000,-1.2989941,4334815.4,-0.010999354,523583.04,0.40124266,9.4426858,69.64633,1.7294261,29.805847
2.34,40,5980000,-1.2927475,4293029.7,-0.0075279895,495866.63,0.38841216,9.2296726,68.534238,1.6856002,29.288136
2.3433333,40,5980000,-1.2883196,4263723.6,-0.0060972245,485315.65,0.38343756,9.1994985,68.083302,1.6753132,29.054041
2.3466667,40,5980000,-1.2823587,4224130.7,0.0015887929,459597.21,0.3712038,8.9714996,66.780645,1.6291544,28.457661
2.35,40,5980000,-1.2772244,4190285.6,-0.0017162573,442485.83,0.3630308,8.8452295,65.687469,1.6016713,27.952115
