temperature,matrix_size,steps,energy_pP,energySquared_total,magnetic_pP,magneticSquared_total,magneticAbsolute_pP,E_var,M_abs_var,Cv,Xi
2.265,40,5980000,-1.4377696,5307848.8,0.010237432,1147270.7,0.64847793,9.9153196,44.206386,1.9327261,19.517168
2.2683333,40,5980000,-1.4309888,5258338.5,0.0062887759,1115689.4,0.63790166,10.095072,46.236232,1.961985,20.38335
2.2716667,40,5980000,-1.4238635,5206558.7,0.010231871,1080690.8,0.62496809,10.279563,50.495593,1.9919821,22.228434
2.275,40,5980000,-1.4183004,5166023.4,0.0016396543,1058902.5,0.61799076,10.242791,50.753938,1.9790443,22.309423
2.2783333,40,5980000,-1.4115204,5117045.6,-0.018490206,1027449.9,0.60695961,10.329634,52.71623,1.9899877,23.138067
2.2816667,40,5980000,-1.4040038,5063130.2,-0.020843946,986910.34,0.59119169,10.493656,57.606776,2.015684,25.247674
2.285,40,5980000,-1.3980701,5020591.5,0.019999545,961436.59,0.5822701,10.509504,58.43632,2.0128426,25.573882
2.2883333,40,5980000,-1.3918644,4976348.1,-0.02361782,936545.05,0.57309052,10.559247,59.84827,2.0164822,26.153651
2.2916667,40,5980000,-1.3850013,4927637.8,0.010510432,903282.35,0.56006769,10.607827,62.670157,2.0198705,27.346978
2.295,40,5980000,-1.3779935,4877970.3,0.001931912,868744.71,0.5466742,10.545753,64.801161,2.002222,28.2358
2.2983333,40,5980000,-1.371494,4832205.6,-0.0005534954,842014.65,0.5371144,10.535183,64.672147,1.9944174,28.138715
2.3016667,40,5980000,-1.3654334,4789738.1,-0.016877912,814785.27,0.52626634,10.532805,66.110776,1.9881959,28.723002
2.305,40,5980000,-1.3579988,4737839.8,0.012264475,777308.05,0.51049082,10.492762,68.856128,1.9749129,29.872507
2.3083333,40,5980000,-1.3523874,4698739.9,0.021732692,754866.09,0.50219884,10.389588,68.265418,1.9498504,29.573466
2.3116667,40,5980000,-1.3448404,4646616.3,-0.022679854,718335.11,0.48645884,10.381904,70.33192,1.9427933,30.424767
2.315,40,5980000,-1.3390492,4606796.5,0.0076648758,694439.2,0.47611095,10.363405,71.333877,1.9337506,30.81377
2.265,60,5980000,-1.4334122,26667719,0.03403639,5331469.9,0.62268858,10.885395,85.096001,2.1218164,37.569978
2.2683333,60,5980000,-1.4267198,26420138,0.0086427153,5154350.5,0.6101143,11.021387,91.701983,2.1420149,40.427031
2.2716667,60,5980000,-1.4197681,26164124,-0.043109574,4960430.9,0.59655337,11.142945,96.744148,2.1592891,42.587299
