Index,Energy,omega,alpha
1000,3.80705,1,0.88
2000,3.77329,1,0.88
3000,3.76114,1,0.88
4000,3.76025,1,0.88
5000,3.76364,1,0.88
6000,3.75566,1,0.88
7000,3.75786,1,0.88
8000,3.75809,1,0.88
9000,3.75128,1,0.88
10000,3.75772,1,0.88
11000,3.75596,1,0.88
12000,3.76082,1,0.88
13000,3.76159,1,0.88
14000,3.76165,1,0.88
15000,3.76007,1,0.88
16000,3.7619,1,0.88
17000,3.76183,1,0.88
18000,3.76536,1,0.88
19000,3.76621,1,0.88
20000,3.76493,1,0.88
21000,3.76409,1,0.88
22000,3.76672,1,0.88
23000,3.76855,1,0.88
24000,3.76696,1,0.88
25000,3.76951,1,0.88
26000,3.76976,1,0.88
27000,3.77174,1,0.88
28000,3.77671,1,0.88
29000,3.77808,1,0.88
30000,3.78001,1,0.88
31000,3.77951,1,0.88
32000,3.77757,1,0.88
33000,3.77698,1,0.88
34000,3.77803,1,0.88
35000,3.7813,1,0.88
36000,3.77931,1,0.88
37000,3.77831,1,0.88
38000,3.77676,1,0.88
39000,3.77768,1,0.88
40000,3.7785,1,0.88
41000,3.77794,1,0.88
42000,3.77756,1,0.88
43000,3.77712,1,0.88
44000,3.77784,1,0.88
45000,3.77744,1,0.88
46000,3.77715,1,0.88
47000,3.7775,1,0.88
48000,3.77721,1,0.88
49000,3.77791,1,0.88
50000,3.77736,1,0.88
51000,3.77643,1,0.88
52000,3.77656,1,0.88
53000,3.77617,1,0.88
54000,3.77673,1,0.88
55000,3.7771,1,0.88
56000,3.77737,1,0.88
57000,3.77658,1,0.88
58000,3.77651,1,0.88
59000,3.77635,1,0.88
60000,3.77736,1,0.88
61000,3.7768,1,0.88
62000,3.77604,1,0.88
63000,3.7764,1,0.88
64000,3.7766,1,0.88
65000,3.77647,1,0.88
66000,3.77586,1,0.88
67000,3.77637,1,0.88
68000,3.77707,1,0.88
69000,3.77671,1,0.88
70000,3.77566,1,0.88
71000,3.77595,1,0.88
72000,3.7756,1,0.88
73000,3.77586,1,0.88
74000,3.77559,1,0.88
75000,3.77566,1,0.88
76000,3.77549,1,0.88
77000,3.77581,1,0.88
78000,3.77602,1,0.88
79000,3.7761,1,0.88
80000,3.77591,1,0.88
81000,3.77513,1,0.88
82000,3.77523,1,0.88
83000,3.77538,1,0.88
84000,3.77493,1,0.88
85000,3.77608,1,0.88
86000,3.77569,1,0.88
87000,3.77614,1,0.88
88000,3.77686,1,0.88
89000,3.77657,1,0.88
90000,3.77596,1,0.88
91000,3.77534,1,0.88
92000,3.77556,1,0.88
93000,3.77546,1,0.88
94000,3.77578,1,0.88
95000,3.77539,1,0.88
96000,3.77498,1,0.88
