Omega,alpha,energy,sigma, distance
0.01,0.1,0.176723,0.08037,50.4594
0.01,0.15,0.133147,0.0521397,41.2097
0.01,0.2,0.113679,0.0399528,35.6792
0.01,0.25,0.103627,0.0354006,31.9102
0.01,0.3,0.0981874,0.0333777,29.134
0.01,0.35,0.095305,0.0341142,26.9725
0.01,0.4,0.0939671,0.0351165,25.2337
0.01,0.45,0.0936216,0.0372742,23.7872
0.01,0.5,0.0939192,0.0393336,22.5673
0.01,0.55,0.0946958,0.0421575,21.5175
0.01,0.6,0.0957879,0.0435843,20.6012
0.01,0.65,0.0971378,0.0465691,19.794
0.01,0.7,0.0987047,0.0483614,19.0729
0.01,0.75,0.100358,0.0503029,18.4253
0.01,0.8,0.102116,0.0522476,17.8415
0.01,0.85,0.103981,0.0542561,17.3026
0.01,0.9,0.105857,0.0563819,16.82
0.01,0.95,0.107812,0.0581129,16.371
0.01,1,0.109777,0.060216,15.9589
0.01,1.05,0.111762,0.0621524,15.5785
0.01,1.1,0.113801,0.0635436,15.217
0.01,1.15,0.115852,0.0650236,14.8808
0.01,1.2,0.117904,0.0673167,14.5677
0.01,1.25,0.11995,0.0688656,14.2745
0.01,1.3,0.121991,0.0706477,13.9997
0.01,1.35,0.124069,0.0717682,13.7338
0.01,1.4,0.126143,0.0749487,13.4859
0.01,1.45,0.128139,0.074866,13.2546
0.01,1.5,0.130203,0.076881,13.0308
0.01,1.55,0.132301,0.0777256,12.8126
0.01,1.6,0.134307,0.0795491,12.6139
0.01,1.65,0.136327,0.0811733,12.4242
0.01,1.7,0.138332,0.0823094,12.2389
0.01,1.75,0.14042,0.0838982,12.0578
0.01,1.8,0.142409,0.0856337,11.8932
0.01,1.85,0.144355,0.0874973,11.7344
0.01,1.9,0.146374,0.0884516,11.5794
0.01,1.95,0.148373,0.0898335,11.4267
0.5,0.1,7.75446,4.2373,7.13786
0.5,0.15,5.32955,2.76072,5.82643
0.5,0.2,4.15162,2.01249,5.04475
0.5,0.25,3.47004,1.55506,4.51346
0.5,0.3,3.03327,1.24246,4.12017
0.5,0.35,2.73907,1.01604,3.81377
0.5,0.4,2.53236,0.844172,3.5693
0.5,0.45,2.38261,0.708242,3.36372
0.5,0.5,2.27356,0.602487,3.1909
0.5,0.55,2.19476,0.518626,3.04335
0.5,0.6,2.13676,0.45199,2.91286
0.5,0.65,2.09615,0.404497,2.79891
0.5,0.7,2.06837,0.374323,2.69661
0.5,0.75,2.05111,0.356231,2.60586
0.5,0.8,2.04212,0.355344,2.52277
0.5,0.85,2.04019,0.362099,2.44716
0.5,0.9,2.0437,0.377911,2.37855
0.5,0.95,2.05204,0.401724,2.31525
0.5,1,2.06439,0.424238,2.25625
0.5,1.05,2.07981,0.453951,2.20291
0.5,1.1,2.09859,0.483816,2.15172
0.5,1.15,2.11967,0.514916,2.10469
0.5,1.2,2.14294,0.547314,2.06035
0.5,1.25,2.16808,0.577085,2.01902
0.5,1.3,2.19558,0.610136,1.97873
0.5,1.35,2.22356,0.644493,1.94253
0.5,1.4,2.25318,0.674675,1.90746
0.5,1.45,2.28385,0.711019,1.87472
0.5,1.5,2.31636,0.736206,1.84206
0.5,1.55,2.34901,0.767985,1.81254
0.5,1.6,2.38264,0.803013,1.7837
0.5,1.65,2.41718,0.831754,1.75664
0.5,1.7,2.45226,0.863454,1.73084
0.5,1.75,2.48675,0.894063,1.70664
0.5,1.8,2.52331,0.923098,1.68234
0.5,1.85,2.56022,0.95346,1.65929
0.5,1.9,2.59765,0.981822,1.63708
0.5,1.95,2.63489,1.01542,1.61621
1,0.1,15.4038,8.50248,5.04721
1,0.15,10.5321,5.55762,4.12002
1,0.2,8.15487,4.06092,3.56831
1,0.25,6.77339,3.14532,3.19226
1,0.3,5.88638,2.51881,2.9129
1,0.35,5.28208,2.06143,2.69625
1,0.4,4.85421,1.70976,2.52357
1,0.45,4.54323,1.42889,2.37913
1,0.5,4.31418,1.20197,2.257
1,0.55,4.14337,1.01369,2.15152
1,0.6,4.01812,0.859167,2.05997
1,0.65,3.92606,0.735416,1.97922
1,0.7,3.86094,0.643544,1.90702
1,0.75,3.81577,0.571434,1.84271
1,0.8,3.78876,0.528723,1.78445
1,0.85,3.7753,0.519995,1.73125
1,0.9,3.77362,0.532194,1.68184
1,0.95,3.78157,0.555327,1.63701
1,1,3.79805,0.599368,1.59567
1,1.05,3.82147,0.652206,1.55685
1,1.1,3.8501,0.711852,1.52191
1,1.15,3.88508,0.773427,1.48803
1,1.2,3.92388,0.831263,1.45686
1,1.25,3.96772,0.893501,1.42685
1,1.3,4.01324,0.961762,1.39983
1,1.35,4.06354,1.02116,1.37302
1,1.4,4.11494,1.08517,1.34882
1,1.45,4.17062,1.1516,1.32525
1,1.5,4.22773,1.21034,1.30273
1,1.55,4.28528,1.27321,1.28222
1,1.6,4.34686,1.34423,1.26161
1,1.65,4.40792,1.39958,1.24275
1,1.7,4.47363,1.45786,1.22359
1,1.75,4.53851,1.51636,1.20591
1,1.8,4.60385,1.57763,1.18916
1,1.85,4.6703,1.63359,1.17326
1,1.9,4.73992,1.68978,1.15758
1,1.95,4.80883,1.74898,1.14247
