omega,alpha,beta,energy,sigma,distance
1,0.88,0.9,3.736326,0.20662175,1.8627374
1,0.98,0.9,3.7238654,0.20662175,1.8627374
1,0.98,0.5,3.7153389,0.20662175,1.8627374
1,1.03,0.5,3.7117247,0.20662175,1.8627374
1,1.03,0.42,3.7104784,0.20662175,1.8627374
1,1.05,0.42,3.709804,0.20662175,1.8627374
1,1.05,0.38,3.709387,0.20662175,1.8627374
1,1.07,0.38,3.7090964,0.20662175,1.8627374
1,1.07,0.35,3.7087053,0.20662175,1.8627374
1,1.08,0.35,3.7086075,0.20662175,1.8627374
1,1.08,0.33,3.7084188,0.20662175,1.8627374
1,1.09,0.33,3.7083861,0.20662175,1.8627374
1,1.09,0.31,3.7081356,0.20662175,1.8627374
