Omega,alpha,energy,sigma, distance

0.01,0.21,0.11114284,0.038420346,34.821059
0.01,0.22,0.10892018,0.037234371,34.020399
0.01,0.23,0.10692934,0.036362209,33.272298
0.01,0.24,0.10518221,0.035569406,32.568917
0.01,0.25,0.10364514,0.034773469,31.917213
0.01,0.26,0.10227237,0.0344463,31.290907
0.01,0.27,0.10106468,0.03370974,30.712425
0.01,0.28,0.099983124,0.033652104,30.165024
0.01,0.29,0.099043245,0.033468152,29.631995
0.01,0.3,0.09820661,0.033327029,29.14247
0.01,0.31,0.097466486,0.033521362,28.665129
0.01,0.32,0.096819507,0.034036255,28.206346
0.01,0.33,0.096232572,0.0336657,27.784119
0.01,0.34,0.095739476,0.033533671,27.369634
0.01,0.35,0.09530213,0.033697771,26.973851
0.01,0.36,0.094955189,0.033924543,26.59226
0.01,0.37,0.094631234,0.034781945,26.235285
0.01,0.38,0.094368664,0.034591699,25.883701
0.01,0.39,0.094147802,0.034972002,25.545185
0.01,0.4,0.093967482,0.035226704,25.236902
0.01,0.41,0.093838731,0.035844511,24.918593
0.01,0.42,0.093731856,0.036020135,24.61902
0.01,0.43,0.093657487,0.03657988,24.334234
0.01,0.44,0.093620231,0.03668017,24.059685
0.01,0.45,0.093602307,0.037293373,23.783444
0.01,0.46,0.09361921,0.037817679,23.533289
0.01,0.47,0.09367344,0.038291054,23.274888
0.01,0.48,0.093710883,0.038292703,23.040401
0.01,0.49,0.093826792,0.039029725,22.787771
0.01,0.5,0.093931381,0.039401284,22.563265
0.01,0.51,0.09403057,0.040024189,22.346436
0.01,0.52,0.094196107,0.040408031,22.123
0.01,0.53,0.094345538,0.04077962,21.91273
0.01,0.54,0.094519423,0.041693724,21.70753
0.01,0.55,0.094691499,0.041580188,21.516032
0.01,0.56,0.094906799,0.042280471,21.318952
0.01,0.57,0.095110314,0.042626889,21.132879
0.01,0.58,0.095329758,0.043177836,20.955607
0.01,0.59,0.095568034,0.04330495,20.771557
0.01,0.6,0.09580007,0.043661417,20.604033
0.01,0.61,0.096058922,0.044364902,20.427373
0.01,0.62,0.096313033,0.045163803,20.266423
0.01,0.63,0.096586038,0.045348661,20.106903
0.01,0.64,0.096867673,0.045884263,19.950864
0.01,0.65,0.097138507,0.046204173,19.797882
0.01,0.66,0.097455185,0.046767312,19.643057
0.01,0.67,0.097737297,0.046667029,19.498053
0.01,0.68,0.09803708,0.047618067,19.355318
0.01,0.69,0.098386648,0.048562837,19.205711
0.01,0.7,0.098678691,0.048887808,19.073625
0.01,0.71,0.098996524,0.048628285,18.941107
